iter	Passed	Remaining
141	5268	13283
142	5312	13263
143	5345	13216
144	5380	13172
145	5412	13123
146	5444	13073
147	5477	13028
148	5515	12992
149	5549	12949
150	5582	12903
151	5616	12859
152	5648	12811
153	5682	12766
154	5716	12724
155	5757	12697
156	5792	12655
157	5825	12609
158	5856	12559
159	5889	12515
160	5921	12468
161	5959	12434
162	6000	12406
163	6039	12374
164	6078	12340
165	6112	12299
166	6144	12251
167	6178	12209
168	6216	12175
169	6250	12133
170	6283	12090
171	6321	12055
172	6353	12010
173	6387	11966
174	6426	11935
175	6470	11911
176	6506	11872
177	6538	11827
178	6569	11781
179	6607	11746
180	6649	11719
181	6682	11675
182	6715	11632
183	6757	11605
184	6796	11572
185	6835	11539
186	6879	11515
187	6913	11472
188	6948	11433
189	6981	11391
190	7015	11349
191	7049	11309
192	7090	11278
193	7123	11235
194	7154	11190
195	7185	11145
196	7219	11104
197	7251	11061
198	7291	11029
199	7332	10998
200	7364	10955
201	7397	10913
202	7429	10870
203	7462	10827
204	7494	10785
205	7536	10756
206	7575	10722
207	7609	10682
208	7641	10639
209	7673	10597
210	7707	10556
211	7739	10513
212	7780	10483
213	7819	10450
214	7854	10411
215	7886	10369
216	7918	10327
217	7953	10287
218	7990	10252
219	8025	10214
220	8057	10171
221	8088	10128
222	8119	10086
223	8152	10045
224	8191	10011
225	8226	9973
226	8259	9932
227	8295	9896
228	8329	9856
229	8360	9813
230	8399	9781
231	8440	9749
232	8471	9707
233	8508	9671
234	8541	9631
235	8572	9590
236	8610	9555
237	8654	9526
238	8693	9494
239	8734	9462
240	8783	9439
241	8822	9406
242	8865	9376
243	8900	9338
244	8932	9296
245	8964	9256
246	8999	9218
247	9034	9179
248	9074	9147
249	9111	9111
250	9145	9073
251	9178	9032
252	9210	8992
253	9243	8952
254	9283	8919
255	9320	8883
256	9355	8845
257	9386	8804
258	9419	8765
259	9454	8726
260	9504	8703
261	9553	8678
262	9595	8647
263	9637	8615
264	9682	8585
265	9718	8549
266	9757	8514
267	9792	8477
268	9823	8436
269	9856	8396
270	9890	8357
271	9920	8315
272	9965	8286
273	10002	8249
274	10034	8209
275	10066	8169
276	10098	8130
277	10134	8092
278	10172	8057
279	10207	8020
280	10241	7981
281	10274	7942
282	10313	7907
283	10358	7878
284	10403	7848
285	10441	7813
286	10476	7775
287	10515	7740
288	10549	7702
289	10596	7673
290	10640	7642
291	10679	7607
292	10717	7571
293	10751	7533
294	10799	7505
295	10843	7473
296	10881	7437
297	10916	7399
298	10950	7361
299	10986	7324
300	11026	7289
301	11064	7254
302	11100	7217
303	11136	7180
304	11175	7145
305	11208	7105
306	11245	7069
307	11288	7037
308	11321	6997
309	11354	6959
310	11387	6920
311	11418	6880
312	11449	6840
313	11491	6806
314	11529	6771
315	11566	6734
316	11601	6697
317	11634	6658
318	11666	6619
319	11697	6579
320	11733	6543
321	11767	6505
322	11802	6467
323	11835	6429
324	11864	6388
325	11897	6350
326	11942	6318
327	11979	6281
328	12011	6243
329	12040	6202
330	12075	6165
331	12111	6128
332	12142	6089
333	12179	6053
334	12214	6016
335	12244	5976
336	12281	5940
337	12314	5902
338	12347	5864
339	12387	5829
340	12426	5794
341	12458	5755
342	12490	5717
343	12520	5677
344	12550	5638
345	12586	5601
346	12624	5566
347	12663	5531
348	12693	5492
349	12724	5453
350	12756	5415
351	12789	5377
352	12846	5349
353	12890	5316
354	12920	5277
355	12957	5241
356	12986	5201
357	13016	5162
358	13048	5125
359	13086	5089
360	13119	5051
361	13151	5013
362	13182	4975
363	13215	4937
364	13244	4898
365	13280	4862
366	13321	4827
367	13358	4791
368	13388	4753
369	13418	4714
370	13447	4675
371	13480	4638
372	13517	4602
373	13554	4566
374	13586	4528
375	13624	4493
376	13663	4457
377	13693	4419
378	13723	4381
379	13761	4345
380	13802	4311
381	13834	4273
382	13868	4236
383	13905	4200
384	13935	4162
385	13972	4126
386	14015	4092
387	14053	4056
388	14086	4019
389	14116	3981
390	14151	3944
391	14188	3909
392	14226	3873
393	14265	3837
394	14303	3802
395	14338	3765
396	14371	3728
397	14413	3693
398	14452	3658
399	14485	3621
400	14517	3584
401	14546	3546
402	14576	3508
403	14613	3472
404	14652	3436
405	14687	3400
406	14716	3362
407	14754	3326
408	14800	3292
409	14855	3260
410	14889	3224
411	14918	3186
412	14951	3149
413	14980	3111
414	15016	3075
415	15045	3038
416	15082	3001
417	15124	2967
418	15156	2930
419	15191	2893
420	15228	2857
421	15262	2820
422	15295	2784
423	15332	2748
424	15365	2711
425	15400	2675
426	15432	2638
427	15462	2601
428	15492	2564
429	15531	2528
430	15568	2492
431	15600	2455
432	15634	2419
433	15670	2383
434	15707	2347
435	15743	2310
436	15776	2274
437	15814	2238
438	15850	2202
439	15884	2166
440	15916	2129
441	15957	2094
442	15995	2058
443	16028	2021
444	16061	1985
445	16094	1948
446	16130	1912
447	16161	1875
448	16203	1840
449	16240	1804
450	16275	1768
451	16308	1731
452	16344	1695
453	16380	1659
454	16416	1623
455	16454	1587
456	16484	1551
457	16517	1514
458	16555	1478
459	16584	1442
460	16628	1406
461	16660	1370
462	16691	1333
463	16723	1297
464	16758	1261
465	16795	1225
466	16849	1190
467	16891	1154
468	16926	1118
469	16961	1082
470	16993	1046
471	17038	1010
472	17075	974
473	17114	938
474	17153	902
475	17193	866
476	17233	830
477	17274	795
478	17314	759
479	17350	722
480	17380	686
481	17412	650
482	17445	614
483	17481	577
484	17525	542
485	17562	505
486	17595	469
487	17627	433
488	17659	397
489	17698	361
490	17728	324
491	17768	288
492	17803	252
493	17833	216
494	17862	180
495	17893	144
496	17931	108
497	17977	72
498	18008	36
499	18043	0
