iter	CrossEntropy
258	0.5236311212
259	0.5233480377
260	0.5230718686
261	0.5228460096
262	0.5226289005
263	0.5224156678
264	0.5221928348
265	0.5219718782
266	0.5217257533
267	0.5215485792
268	0.5213506155
269	0.5211145472
270	0.5209037931
271	0.5206667503
272	0.5204822332
273	0.5202839898
274	0.5200654393
275	0.5198325694
276	0.5196329814
277	0.5194248007
278	0.5192276863
279	0.519048964
280	0.5188671496
281	0.518673388
282	0.5184597237
283	0.5182802735
284	0.5180701409
285	0.5178947801
286	0.5176970751
287	0.5175045686
288	0.5173036745
289	0.51710702
290	0.5169006883
291	0.5167108744
292	0.5164978002
293	0.5162806138
294	0.5161029126
295	0.5159038488
296	0.5156804233
297	0.51547428
298	0.5152826377
299	0.5150736358
300	0.5148663814
301	0.5146812763
302	0.5145139791
303	0.5143001668
304	0.5141191232
305	0.513882623
306	0.5137433032
307	0.5135646932
308	0.5133773443
309	0.5131693931
310	0.5129635059
311	0.5127843872
312	0.5126185278
313	0.5124579768
314	0.5123193658
315	0.5121497303
316	0.5119872787
317	0.5118216012
318	0.511661552
319	0.5114641749
320	0.5113029683
321	0.5111245714
322	0.5109520611
323	0.5107587931
324	0.5105866921
325	0.5104226304
326	0.5102560793
327	0.5100889778
328	0.5099154882
329	0.509747768
330	0.5095612965
331	0.5094293094
332	0.5092710366
333	0.5090982543
334	0.5089242735
335	0.508767731
336	0.5086044112
337	0.5084395778
338	0.5082836107
339	0.5081488822
340	0.5079802056
341	0.5078304139
342	0.5076952305
343	0.5075038908
344	0.5073537393
345	0.5072055716
346	0.507049813
347	0.5069269055
348	0.5067313278
349	0.5065838201
350	0.5064165256
351	0.5062627225
352	0.5061352903
353	0.5059640255
354	0.5057969505
355	0.505642015
356	0.5054701591
357	0.505339327
358	0.5051779634
359	0.5049998751
360	0.5048554384
361	0.5046808609
362	0.5045462944
363	0.5044040759
364	0.5042429562
365	0.5041059704
366	0.5039755817
367	0.5038466722
368	0.5037157067
369	0.5035760848
370	0.5034286038
371	0.5032579362
372	0.5030972338
373	0.5029491506
374	0.5028044857
375	0.5026837021
376	0.5025613889
377	0.5024347501
378	0.5022899903
379	0.5021741914
380	0.5020566351
381	0.5019188604
382	0.5017838878
383	0.5016787965
384	0.5015491199
385	0.5014417959
386	0.501302763
387	0.501174926
388	0.5010413663
389	0.5008832188
390	0.500782102
391	0.5006499604
392	0.5005402197
393	0.500441625
394	0.5003514006
395	0.5002251416
396	0.5000891054
397	0.499993729
398	0.4998721091
399	0.4997615702
400	0.499627309
401	0.4994647531
402	0.4993408905
403	0.4992224908
404	0.4991137358
405	0.4990036303
406	0.4988658608
407	0.4987628439
408	0.4986648573
409	0.4985469767
410	0.4984422649
411	0.4983353659
412	0.4982162846
413	0.4981093939
414	0.4980131312
415	0.4978798654
416	0.4977542782
417	0.4976611527
418	0.497546179
419	0.4974289883
420	0.4973332679
421	0.4972375794
422	0.4971055545
423	0.4969710032
424	0.4968736167
425	0.4967460425
426	0.4966417218
427	0.4965368526
428	0.4964229258
429	0.4963103823
430	0.4962121034
431	0.4961079
432	0.4960091546
433	0.4959134526
434	0.4957972811
435	0.495678219
436	0.4955706431
437	0.4954767111
438	0.4953879849
439	0.4952772655
440	0.4951791552
441	0.4950657847
442	0.4949540461
443	0.4948429318
444	0.4947688695
445	0.4946592429
446	0.4945683708
447	0.4944736925
448	0.4943639567
449	0.4942754461
450	0.4941737559
451	0.4940758208
452	0.4939709655
453	0.4938804385
454	0.493781502
455	0.493705695
456	0.4936216596
457	0.4935448699
458	0.493440058
459	0.493320167
460	0.493217342
461	0.4931120031
462	0.4929928386
463	0.4928750601
464	0.4927754225
465	0.4926705096
466	0.4925959892
467	0.4924935692
468	0.4923780501
469	0.4922943577
470	0.4922155293
471	0.4921199991
472	0.4920388003
473	0.4919633336
474	0.4918708521
475	0.4918001319
476	0.4917129924
477	0.4916178269
478	0.491520391
479	0.491408816
480	0.4913366709
481	0.4912382196
482	0.4911281573
483	0.4910408733
484	0.4909621488
485	0.4908597325
486	0.4908012888
487	0.4907122939
488	0.4906376783
489	0.4905560485
490	0.4904452445
491	0.4903490611
492	0.4902669249
493	0.4901542552
494	0.4900584381
495	0.4899509547
496	0.4898750663
497	0.4898133561
498	0.4897226756
499	0.4896587839
